phulangsunguy	phulangsu/NPR+nguy/PAN
tespwuthngyessta	tespwuthngi/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
pwukhan	pwukhan/NPR
kongwi	kongwi/NNC
tayphyotannguy	tayphyotan/NNC+nguy/PAN
ngwesingthen	ngwesingthen/NPR
pangmwunngun	pangmwun/NNC+ngun/PAU
cinanhay	cinanhay/NNC
5	5/NNU
ngwel	ngwel/NNX
mi	mi/NPR
taythonglyeng	taythonglyeng/NNC
thuksa	thuksa/NNC
cakyeknguy	cakyek/NNC+nguy/PAN
ngwillingem	ngwillingem/NPR
pheyli	pheyli/NPR
taypwukhan	tay/XPF+pwukhan/NPR
cengchaykcocengkwankwa	cengchayk/NNC+coceng/NNC+kwan/XSF+kwa/PCJ
ngweynti	ngweynti/NPR
syemen	syemen/NPR
kwukmwupwu	kwukmwupwu/NNC
camwunkwannguy	camwun/NNC+kwan/XSF+nguy/PAN
phyengngyangngul	phyengngyang/NPR+ngul/PCA
pangmwunhan	pangmwun/NNC+ha/XSV+ngun/EAN
tey	tey/NNX
tayhan	tayha/VV+ngun/EAN
tappang	tappang/NNC
hyengsikngulo	hyengsik/NNC+ngulo/PAD
ngilwecinun	ngilwu/VV+nge/ECS+ci/VX+nun/EAN
kesngulo	kes/NNX+ngulo/PAD
kwukmwupwunun	kwukmwupwu/NNC+ngun/PAU
kim	kim/NPR
pwusangngi	pwusang/NNC+ngi/PCA
cinan	cinan/DAN
1	1/NNU
ngwel	ngwel/NNX
pwukhan	pwukhan/NPR
kongwi	kongwi/NNC
tayphyotannguy	tayphyotan/NNC+nguy/PAN
ngwesingthen	ngwesingthen/NPR
pangmwun	pangmwun/NNC
chochengngul	chocheng/NNC+ngul/PCA
pwukhan	pwukhan/NPR
cengpwuka	cengpwu/NNC+ngi/PCA
swulakhayssngumngul	swulak/NNC+ha/XSV+ngess/EPF+ngum/ENM+ngul/PCA
kongsik	kongsik/NNC
thongpohayssngesstako	thongpo/NNC+ha/XSV+ngessngess/EPF+ta/EFN+ko/PAD
palkhyessta	palkhi/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
mikwukchukngun	mikwuk/NPR+chuk/XSF+ngun/PAU
kongwikup	kongwikup/NNC
hoytam	hoytam/NNC
cwunpihoytamkwa	cwunpi/NNC+hoytam/NNC+kwa/PAD
pyenghaynghay	pyenghayng/NNC+ha/XSV+nge/ECS
ngyellil	ngyelli/VV+ngul/EAN
theylehoytamngeyse	theyle/NNC+hoytam/NNC+ngeyse/PAD
pwukhanchukngey	pwukhan/NPR+chuk/XSF+ngey/PAD
kwukmwupwuka	kwukmwupwu/NNC+ngi/PCA
cicenghan	ciceng/NNC+ha/XSV+ngun/EAN
kwukceytheylecingwenkwuk	kwukcey/NNC+theyle/NNC+cingwen/NNC+kwuk/XSF
myengtanngeyse	myengtan/NNC+ngeyse/PAD
ceyngoytoyki	ceyngoy/NNC+toy/XSV+ki/ENM
ngwihay	ngwiha/VV+nge/ECS
philngyohan	philngyo/NNC+ha/XSJ+ngun/EAN
cochitulngul	cochi/NNC+tul/XSF+ngul/PCA
thongpohal	thongpo/NNC+ha/XSV+ngul/EAN
kesngulo	kes/NNX+ngulo/PAD
ngyeysangtoynta	ngyeysang/NNC+toy/XSV+nunta/EFN
.	./SFN
^EOS
kwukmwupwunun	kwukmwupwu/NNC+ngun/PAU
pwukhanngi	pwukhan/NPR+ngi/PCA
hyencay	hyencay/NNC
7	7/NNU
kay	kay/NNX
theylecingwenkwuk	theyle/NNC+cingwen/NNC+kwuk/XSF
cwungnguy	cwung/NNX+nguy/PAN
hanalo	hana/NNU+ngulo/PAD
namnga	nam/VV+nge/ECS
ngissnguna	ngiss/VX+nguna/ECS
cinan	cinan/DAN
1987	1987/NNU
nyen	nyen/NNX
ngilay	ngilay/NNX
theylehwaltongngey	theyle/NNC+hwaltong/NNC+ngey/PAD
ngyenlwutoyn	ngyenlwu/NNC+toy/XSV+ngun/EAN
pa	pa/NNX
ngepstamyense	ngeps/VJ+ta/EFN+myense/ECS
manngil	manngil/ADV
pwukhanchukngi	pwukhan/NPR+chuk/XSF+ngi/PCA
ngaphngulo	ngaph/NNC+ngulo/PAD
theylehayngtongngey	theyle/NNC+hayngtong/NNC+ngey/PAD
kwanngyehaci	kwanngye/NNC+ha/XSV+ci/ECS
nganhngul	nganh/VX+ngul/EAN
kesngimngul	kes/NNX+ngi/CO+ngum/ENM+ngul/PCA
kongkaycekngulo	kongkay/NNC+cek/XSF+ngulo/PAD
sengyakhanun	sengyak/NNC+ha/XSV+nun/EAN
tungnguy	tung/NNX+nguy/PAN
cochilul	cochi/NNC+ngul/PCA
chwihal	chwiha/VV+ngul/EAN
kyengngwu	kyengngwu/NNC
myengtanngeyse	myengtan/NNC+ngeyse/PAD
ceyngoysikhil	ceyngoy/NNC+sikhi/XSV+ngul/EAN
ngyongnguyka	ngyongnguy/NNC+ngi/PCA
ngissngumngul	ngiss/VX+ngum/ENM+ngul/PCA
palkhyengwassta	palkhi/VV+nge/ECS+ngo/VX+ngess/EPF+ta/EFN
.	./SFN
^EOS
pwukhanngi	pwukhan/NPR+ngi/PCA
kwukmwupwunguy	kwukmwupwu/NNC+nguy/PAN
theylecingwenkwuk	theyle/NNC+cingwen/NNC+kwuk/XSF
myengtanngey	myengtan/NNC+ngey/PAD
ppacikey	ppaci/VV+key/ECS
toymyen	toy/VX+ngumyen/ECS
ku	ku/NPN
tongngan	tongngan/NNX
kumcitoynge	kumci/NNC+toy/XSV+nge/ECS
ngon	ngo/VX+ngun/EAN
thukcengnguy	thukceng/NNC+nguy/PAN
kyengceycek	kyengcey/NNC+cek/XSF
hyeythaykngul	hyeythayk/NNC+ngul/PCA
nwulil	nwuli/VV+ngul/EAN
swu	swu/NNX
ngissnun	ngiss/VJ+nun/EAN
cakyekngul	cakyek/NNC+ngul/PCA
kackey	kac/VV+key/ECS
toynta	toy/VX+nunta/EFN
.	./SFN
^EOS
ngyesengnguy	ngyeseng/NNC+nguy/PAN
ngihon	ngihon/NNC
ngyokenngul	ngyoken/NNC+ngul/PCA
tayphok	tayphok/ADV
ngwanhwahan	ngwanhwa/NNC+ha/XSV+ngun/EAN
ngicipthu	ngicipthu/NPR
peplyulngi	peplyul/NNC+ngi/PCA
palhyotoyn	palhyo/NNC+toy/XSV+ngun/EAN
chesnalngin	chesnal/NNC+ngi/CO+ngun/EAN
1	1/NNU
ngil	ngil/NNX
khangilongeyseman	khangilo/NPR+ngeyse/PAD+man/PAU
phyengsonguy	phyengso/NNC+nguy/PAN
2	2/NNU
payka	pay/NNX+ngi/PCA
nemnun	nem/VV+nun/EAN
20	20/NNU
myengnguy	myeng/NNX+nguy/PAN
ngyesengtulngi	ngyeseng/NNC+tul/XSF+ngi/PCA
ngihonsosongngul	ngihon/NNC+sosong/NNC+ngul/PCA
naysstako	nay/VV+ngess/EPF+ta/EFN+ko/PAD
pepngwen	pepngwen/NNC
sosikthongngi	sosikthong/NNC+ngi/PCA
palkhyessta	palkhi/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
cinantal	cinantal/NNC
nonlan	nonlan/NNC
sokngey	sok/NNC+ngey/PAD
thongkwahan	thongkwa/NNC+ha/XSV+ngun/EAN
kayceng	kayceng/NNC
ngihonpeplyulngun	ngihon/NNC+peplyul/NNC+ngun/PAU
namphyenngulopwuthe	namphyen/NNC+ngulopwuthe/PAD
pwutanghan	pwutang/NNC+ha/XSJ+ngun/EAN
tayngwulul	tayngwu/NPR+ngul/PCA
patngassngumngul	pat/VV+ngess/EPF+ngum/ENM+ngul/PCA
pepcengngeyse	pepceng/NNC+ngeyse/PAD
cungmyenghayngya	cungmyeng/NNC+ha/XSV+ngengya/ECS
hayssten	ha/VX+ngess/EPF+ten/EAN
kiconnguy	kicon/NNC+nguy/PAN
ngihonngyokenngul	ngihon/NNC+ngyoken/NNC+ngul/PCA
tayphok	tayphok/ADV
ngwanhwa	ngwanhwa/NNC
,	,/SCM
namphyenngulopwuthe	namphyen/NNC+ngulopwuthe/PAD
patngun	pat/VV+ngun/EAN
cichamkumkwa	cichamkum/NNC+kwa/PCJ
senmwul	senmwul/NNC
,	,/SCM
ngwicalyolul	ngwicalyo/NNC+ngul/PCA
phokihamyen	phoki/NNC+ha/XSV+ngumyen/ECS
ngihonngi	ngihon/NNC+ngi/PCA
kanunghatolok	kanung/NNC+ha/XSJ+tolok/ECS
kyucenghako	kyuceng/NNC+ha/XSV+ko/ECS
ngissta	ngiss/VX+ta/EFN
.	./SFN
^EOS
ngi	ngi/NPN
nal	nal/NNX
pepngwenmwunngi	pepngwen/NNC+mwun/NNC+ngi/PCA
ngyellicamaca	ngyelli/VV+camaca/ECS
socangngul	socang/NNC+ngul/PCA
nayn	nay/VV+ngun/EAN
ngyesengtul	ngyeseng/NNC+tul/XSF
kangwuntey	kangwuntey/NNC
han	han/NNU
myengngin	myeng/NNX+ngi/CO+ngun/EAN
nilumin	nilumin/NPR
mohameytinun	mohameyti/NPR+ngun/PAU
namphyennguy	namphyen/NNC+nguy/PAN
sangsupcekngin	sangsup/NNC+cek/XSF+ngi/CO+ngun/EAN
kwuthalul	kwutha/NNC+ngul/PCA
kyentita	kyenti/VV+ta/EFN
moshay	mosha/VX+nge/ECS
ches	ches/NNU
ngakilul	ngaki/NNC+ngul/PCA
ngimsinhako	ngimsin/NNC+ha/XSV+ko/ECS
ngissngumngeyto	ngiss/VX+ngum/ENM+ngey/PAD+to/PAU
pwulkwuhako	pwulkwu/NNC+ha/XSJ+ko/ECS
ngihon	ngihon/NNC
selyulul	selyu/NNC+ngul/PCA
cepswusikhyessta	cepswu/NNC+sikhi/XSV+ngess/EPF+ta/EFN
.	./SFN
^EOS
36	36/NNU
seynguy	sey/NNX+nguy/PAN
talun	talun/DAN
han	han/NNU
ngyesengngun	ngyeseng/NNC+ngun/PAU
namphyenngi	namphyen/NNC+ngi/PCA
casinnguy	casin/NNC+nguy/PAN
ngilumngulo	ngilum/NNC+ngulo/PAD
ngunhayngtaychwulngul	ngunhayng/NNC+taychwul/NNC+ngul/PCA
patnga	pat/VV+nge/ECS
kaphcito	kaph/VV+ci/EFN+to/PAU
nganhko	nganh/VX+ko/ECS
swuphyolul	swuphyo/NNC+ngul/PCA
pwutonaynun	pwutonay/VV+nun/EAN
tung	tung/NNX
casinngul	casin/NNC+ngul/PCA
kyengceycekngulo	kyengcey/NNC+cek/XSF+ngulo/PAD
phathansikhyesstamye	phathan/NNC+sikhi/XSV+ngess/EPF+ta/EFN+mye/ECS
sosongngul	sosong/NNC+ngul/PCA
nayssta	nay/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
pepngwencikngwentulngun	pepngwen/NNC+cikngwen/NNC+tul/XSF+ngun/PAU
"^LQ	"/SLQ
ngyesengngi	ngyeseng/NNC+ngi/PCA
ngichelem	ngi/NPN+chelem/PAU
manhngun	manh/VJ+ngun/EAN
sosongngul	sosong/NNC+ngul/PCA
ceykihan	ceyki/NNC+ha/XSV+ngun/EAN
ngilngun	ngil/NNC+ngun/PAU
ngilcciki	ngilcciki/ADV
ngepsngessta	ngeps/VJ+ngess/EPF+ta/EFN
.	./SFN
chelihayngya	cheli/NNC+ha/XSV+ngengya/ECS
hal	ha/VX+ngul/EAN
ngepmwuka	ngepmwu/NNC+ngi/PCA
2	2/NNU
pay	pay/NNX
ngisang	ngisang/NNC
nul	nul/VV+ngul/EAN
kes	kes/NNX
kathta	kath/VJ+ta/EFN
"^RQ	"/SRQ
ko	ko/PAD
cenmanghayssta	cenmang/NNC+ha/XSV+ngess/EPF+ta/EFN
.	./SFN
^EOS
hyencay	hyencay/NNC
ngicipthungeysen	ngicipthu/NPR+ngeyse/PAD+ngun/PAU
ngyenkan	ngyenkan/NNC
150	150/NNU
man	man/NNU
kennguy	ken/NNX+nguy/PAN
ngihon	ngihon/NNC
sosongngi	sosong/NNC+ngi/PCA
ceykitoyko	ceyki/NNC+toy/XSV+ko/ECS
ngissko	ngiss/VX+ko/ECS
cencheycekngulonun	cenchey/NNC+cek/XSF+ngulo/PAD+ngun/PAU
700	700/NNU
manmyengngi	man/NNU+myeng/NNX+ngi/PCA
ngihonngul	ngihon/NNC+ngul/PCA
ngwenhako	ngwenha/VV+ko/ECS
ngissngese	ngiss/VX+ngese/ECS
say	say/DAN
peplyul	peplyul/NNC
palhyongey	palhyo/NNC+ngey/PAD
ttalun	ttalu/VV+ngun/EAN
ngihonngi	ngihon/NNC+ngi/PCA
lesilul	lesi/NNC+ngul/PCA
ngilwul	ngilwu/VV+ngul/EAN
cenmangngilako	cenmang/NNC+ngi/CO+la/EFN+ko/PAD
peplyul	peplyul/NNC
cenmwunkatulngun	cenmwunka/NNC+tul/XSF+ngun/PAU
pwunsekhako	pwunsek/NNC+ha/XSV+ko/ECS
ngissta	ngiss/VX+ta/EFN
.	./SFN
^EOS
kulena	kulena/ADC
ngyesengtancheytulngun	ngyeseng/NNC+tanchey/NNC+tul/XSF+ngun/PAU
say	say/DAN
pepngi	pep/NNC+ngi/PCA
ngyesengnguy	ngyeseng/NNC+nguy/PAN
kyengceykwenngul	kyengceykwen/NNC+ngul/PCA
khukey	khu/VJ+key/ECS
ceyhanhanun	ceyhan/NNC+ha/XSV+nun/EAN
tung	tung/NNX
kyelhamngul	kyelham/NNC+ngul/PCA
nganko	ngan/VV+ko/ECS
ngisstamye	ngiss/VX+ta/EFN+mye/ECS
chwukakaycengngul	chwuka/NNC+kayceng/NNC+ngul/PCA
ngyokwuhako	ngyokwu/NNC+ha/XSV+ko/ECS
ngissta	ngiss/VX+ta/EFN
.	./SFN
^EOS
kono	kono/NPR
ngyoheyngi	ngyoheyngi/NPR
(	(/SLQ
hangyangyangphyeng	hangyangyangphyeng/NPR
)	)/SRQ
ngilpon	ngilpon/NPR
ngoysangngun	ngoysang/NNC+ngun/PAU
ngonun	ngonun/DAN
7	7/NNU
ngwel	ngwel/NNX
ngokhinangwa	ngokhinangwa/NPR
(	(/SLQ
chwungsung	chwungsung/NPR
)	)/SRQ
ngeyse	ngeyse/PAD
ngyellinun	ngyelli/VV+nun/EAN
sencin	sencin/NNC
8	8/NNU
kaykwuk	kaykwuk/NNX
(	(/SLQ
G-8	G-8/NFW
)	)/SRQ
cengsanghoynguyngey	cengsang/NNC+hoynguy/NNC+ngey/PAD
ngimhanun	ngimha/VV+nun/EAN
ngilponnguy	ngilpon/NPR+nguy/PAN
kiponpangchim	kipon/NNC+pangchim/NNC
tungngul	tung/NNX+ngul/PCA
selmyenghaki	selmyeng/NNC+ha/XSV+ki/ENM
ngwihay	ngwiha/VV+nge/ECS
ngi	ngi/NPN
tal	tal/NNX
cwung	cwung/NNX
hankwukngul	hankwuk/NPR+ngul/PCA
pangmwunhal	pangmwun/NNC+ha/XSV+ngul/EAN
kesngilako	kes/NNX+ngi/CO+la/EFN+ko/PAD
tokhyo	tokhyo/NPR
(	(/SLQ
tongkyeng	tongkyeng/NPR
)	)/SRQ
sinmwunngi	sinmwun/NNC+ngi/PCA
2	2/NNU
ngil	ngil/NNX
potohayssta	poto/NNC+ha/XSV+ngess/EPF+ta/EFN
.	./SFN
^EOS
kono	kono/NPR
ngoysangngun	ngoysang/NNC+ngun/PAU
kimtaycwung	kimtaycwung/NPR
taythonglyengkwa	taythonglyeng/NNC+kwa/PCJ
pakthaycwun	pakthaycwun/NPR
kwukmwuchongli	kwukmwuchongli/NNC
,	,/SCM
ngicengpin	ngicengpin/NPR
ngoykyopwucangkwan	ngoykyopwu/NNC+cangkwan/NNC
tungkwa	tung/NNX+kwa/PAD
ngisttala	ngisttalu/VV+nge/ECS
hoytamngul	hoytam/NNC+ngul/PCA
kacil	kaci/VV+ngul/EAN
ngyeycengngimye	ngyeyceng/NNC+ngi/CO+ngumye/ECS
,	,/SCM
panghan	panghan/NNC
sikinun	siki/NNC+ngun/PAU
chamnguyngwenngyeysanngwingwenhoynguy	chamnguyngwen/NNC+ngyeysan/NNC+ngwingwenhoy/NNC+nguy/PAN
simnguy	simnguy/NNC
sanghwangkwa	sanghwang/NNC+kwa/PCJ
hankwukchuk	hankwuk/NPR+chuk/XSF
saceng	saceng/NNC
tungngul	tung/NNX+ngul/PCA
kolyehay	kolye/NNC+ha/XSV+nge/ECS
hankwukchukkwa	hankwuk/NPR+chuk/XSF+kwa/PAD
cocenghal	coceng/NNC+ha/XSV+ngul/EAN
kesngulo	kes/NNX+ngulo/PAD
ngallyecyessta	ngallyeci/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
kono	kono/NPR
ngoysangngun	ngoysang/NNC+ngun/PAU
cinanhay	cinanhay/NNC
10	10/NNU
ngwel	ngwel/NNX
chwingimhan	chwingim/NNC+ha/XSV+ngun/EAN
twi	twi/NNC
ceycwutongeyse	ceycwuto/NPR+ngeyse/PAD
kaychoytoyn	kaychoy/NNC+toy/XSV+ngun/EAN
han	han/NPR
,	,/SCM
ngil	ngil/NPR
kaklyohoynguy	kaklyo/NNC+hoynguy/NNC
chamsek	chamsek/NNC
cha	cha/NNX
panghan	panghan/NNC
cwung	cwung/NNX
kim	kim/NPR
taythonglyengngul	taythonglyeng/NNC+ngul/PCA
ngyeypanghan	ngyeypang/NNC+ha/XSV+ngun/EAN
pa	pa/NNX
ngissnguna	ngiss/VX+nguna/ECS
kongsikpangmwunngun	kongsik/NNC+pangmwun/NNC+ngun/PAU
chengumngita	chengum/NNC+ngi/CO+ta/EFN
.	./SFN
^EOS
tto	tto/ADC
cinan	cinan/DAN
1	1/NNU
ngwel	ngwel/NNX
chwingimhan	chwingim/NNC+ha/XSV+ngun/EAN
ngi	ngi/NPR
ngoykyopwucangkwankwanguy	ngoykyopwu/NNC+cangkwan/NNC+kwa/PAD+nguy/PAN
han	han/NPR
,	,/SCM
ngil	ngil/NPR
ngoymwucangkwan	ngoymwu/NNC+cangkwan/NNC
hoytamto	hoytam/NNC+to/PAU
chengumngita	chengum/NNC+ngi/CO+ta/EFN
.	./SFN
^EOS
ngilanngun	ngilan/NPR+ngun/PAU
1	1/NNU
ngil	ngil/NNX
kaylyanghyeng	kaylyang/NNX+hyeng/XSF
citaykong	citaykong/NNC
misangil	misangil/NNC
`^LQ	`/SLQ
suthayntetu	sutheyntetu/NPR
'^RQ	'/SRQ
nguy	nguy/PAN
sihempalsangey	sihem/NNC+palsa/NNC+ngey/PAD
sengkonghaysstako	sengkong/NNC+ha/XSV+ngess/EPF+ta/EFN+ko/PAD
IRNA	IRNA/NFW
thongsinngi	thongsin/NNC+ngi/PCA
haykwun	haykwun/NNC
kwanlinguy	kwanli/NNC+nguy/PAN
malngul	mal/NNC+ngul/PCA
nginngyonghay	nginngyong/NNC+ha/XSV+nge/ECS
potohayssta	poto/NNC+ha/XSV+ngess/EPF+ta/EFN
.	./SFN
^EOS
han	han/NNU
haykwun	haykwun/NNC
kwanlinun	kwanli/NNC+ngun/PAU
"^LQ	"/SLQ
sasang	sasang/NNC
chengumngulo	chengum/NNC+ngulo/PAD
haykwunngey	haykwun/NNC+ngey/PAD
nguyhay	nguyha/VV+nge/ECS
pwupwuncekngulo	pwupwun/NNC+cek/XSF+ngulo/PAD
ceyco	ceyco/NNC
kaylyangtoyn	kaylyang/NNC+toy/XSV+ngun/EAN
citaykong	citaykong/NNC
misangilnguy	misangil/NNC+nguy/PAN
sihem	sihem/NNC
palsangey	palsa/NNC+ngey/PAD
sengkonghayssta	sengkong/NNC+ha/XSJ+ngess/EPF+ta/EFN
"^RQ	"/SRQ
ko	ko/PAD
palkhin	palkhi/VV+ngun/EAN
kesngulo	kes/NNX+ngulo/PAD
thongsinngun	thongsin/NNC+ngun/PAU
cenhayssta	cenha/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
ngi	ngi/DAN
kwanlinun	kwanli/NNC+ngun/PAU
misangilnguy	misangil/NNC+nguy/PAN
seypwuceyngwenngina	seypwu/NNC+ceyngwen/NNC+ngina/PAU
selkyey	selkyey/NNC
ngyulay	ngyulay/NNC
tung	tung/NNX+ngey/PAD
tayhaysenun	tayha/VV+ngese/ECS+ngun/PAU
palkhici	palkhi/VV+ci/ECS
nganhngun	nganh/VX+ngun/EAN
chay	chay/NNX
ngi	ngi/DAN
misangilngi	misangil/NNC+ngi/PCA
ngilannguy	ngilan/NPR+nguy/PAN
`^LQ	`/SLQ
pheyngikhan	pheyngikhan/NPR
'^RQ	'/SRQ
kup	kup/NNX
hamcengngey	hamceng/NNC+ngey/PAD
paychitoyl	paychi/NNC+toy/XSV+ngul/EAN
kesngilako	kes/NNX+ngi/CO+la/EFN+ko/PAD
malhayssta	malha/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
cinantal	cinantal/NNC
24	24/NNU
ngilpwuthe	ngil/NNX+pwuthe/PAD
kelphuhayngwa	kelphuhay/NPR+kwa/PCJ
ngomanhayngeyse	ngomanhay/NPR+ngeyse/PAD
ngyelhulkannguy	ngyelhul/NNC+kan/XSF+nguy/PAN
ngyukhaykong	ngyukhaykong/NNC
haptongkwunsahwunlyenngul	haptong/NNC+kwunsa/NNC+hwunlyen/NNC+ngul/PCA
pelngiko	pelngi/VV+ko/ECS
ngissnun	ngiss/VX+nun/EAN
ngilan	ngilan/NPR
hyekmyengswupitaynun	hyekmyeng/NNC+swupitay/NNC+ngun/PAU
misangilnguy	misangil/NNC+nguy/PAN
sakelilul	sakeli/NNC+ngul/PCA
120KMlo	120/NNU+KM/NFW+ngulo/PAD
nophngiki	nophngi/VV+ki/ENM
ngwihan	ngwiha/VV+ngun/EAN
sihempalsalul	sihem/NNC+palsa/NNC+ngul/PCA
silsihal	silsi/NNC+ha/XSV+ngul/EAN
kesngilako	kes/NNX+ngi/CO+la/EFN+ko/PAD
palkhyessta	palkhi/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
ngalli-ngakhupalu	ngalli/NPR+-/SSY+ngakhupalu/NPR
ngahumatingan	ngahumatingan/NPR
hyekmyengswupitay	hyekmyeng/NNC+swupitay/NNC
haykwunsalyengkwanngun	haykwun/NNC+salyengkwan/NNC+ngun/PAU
"^LQ	"/SLQ
mikwukngun	mikwuk/NPR+ngun/PAU
cwungkwuknguy	cwungkwuk/NPR+nguy/PAN
C-820	C-820/NFW
haykwun	haykwun/NNC
misangilkiswulngul	misangil/NNC+kiswul/NNC+ngul/PCA
ngilanngey	ngilan/NPR+ngey/PAD
ngicenhaci	ngicen/NNC+ha/XSV+ci/ECS
moshatolok	mosha/VX+tolok/ECS
ngaplyekngul	ngaplyek/NNC+ngul/PCA
kahamyen	kaha/VV+ngumyen/ECS
ngwulika	ngwuli/NPN+ngi/PCA
ngilul	ngi/NPN+ngul/PCA
mantulci	mantul/VV+ci/ECS
moshal	mosha/VX+ngul/EAN
cwul	cwul/NNX
ngalngassciman	ngal/VV+ngess/EPF+ci/EFN+man/PAU
ngwulinun	ngwuli/NPN+ngun/PAU
ngolhay	ngolhay/NNC
kaylyangtoyn	kaylyang/NNC+toy/XSV+ngun/EAN
misangilngul	misangil/NNC+ngul/PCA
paychihakey	paychi/NNC+ha/XSV+key/ECS
toyl	toy/VX+ngul/EAN
kes	kes/NNX
"^RQ	"/SRQ
ngilako	ngi/CO+la/EFN+ko/PAD
kangcohayssta	kangco/NNC+ha/XSV+ngess/EPF+ta/EFN
.	./SFN
^EOS
sepangkwukkatulnguy	sepang/NNC+kwukka/NNC+tul/XSF+nguy/PAN
kwunsaceycaylul	kwunsa/NNC+ceycay/NNC+ngul/PCA
patko	pat/VV+ko/ECS
ngissnun	ngiss/VX+nun/EAN
ngilanngun	ngilan/NPR+ngun/PAU
tokca	tokca/NNC
mwuki	mwuki/NNC
ceycolul	ceyco/NNC+ngul/PCA
chwucinhay	chwucin/NNC+ha/XSV+nge/ECS
ngwassta	ngo/VX+ngess/EPF+ta/EFN
.	./SFN
^EOS
taymanngi	tayman/NPR+ngi/PCA
cwungkwuknguy	cwungkwuk/NPR+nguy/PAN
kwunsalyekngey	kwunsalyek/NNC+ngey/PAD
tayhanghaki	tayhang/NNC+ha/XSV+ki/ENM
ngwihay	ngwiha/VV+nge/ECS
mikwukchukngey	mikwuk/NPR+chuk/XSF+ngey/PAD
chemtan	chemtan/NNC
pangngengyong	pangnge/NNC+ngyong/XSF
mwukilul	mwuki/NNC+ngul/PCA
phanmayhatolok	phanmay/NNC+ha/XSV+tolok/ECS
ngaplyekngul	ngaplyek/NNC+ngul/PCA
nehko	neh/VV+ko/ECS
ngissngumye	ngiss/VX+ngumye/ECS
khullinthen	khullinthen/NPR
hayngcengpwuka	hayngcengpwu/NNC+ngi/PCA
ngi	ngi/NPN
ttaymwunngey	ttaymwun/NNX+ngey/PAD
simkakhan	simkak/NNC+ha/XSV+ngun/EAN
cengchicek	cengchi/NNC+cek/XSF
konkyengngey	konkyeng/NNC+ngey/PAD
ppacye	ppaci/VV+nge/ECS
ngisstako	ngiss/VX+ta/EFN+ko/PAD
nyungyokthangimsuka	nyungyokthangimsu/NPR+ngi/PCA
1	1/NNU
ngil	ngil/NNX
potohayssta	poto/NNC+ha/XSV+ngess/EPF+ta/EFN
.	./SFN
^EOS
ngi	ngi/DAN
sinmwunngun	sinmwun/NNC+ngun/PAU
thangingwan	thangingwan/NPR
tangkwukngi	tangkwuk/NNC+ngi/PCA
cwungkwuknguy	cwungkwuk/NPR+nguy/PAN
thanto	thanto/NNC
,	,/SFN
khulwucu	khulwucu/NNC
misangil	misangil/NNC
hwakchwungngey	hwakchwung/NNC+ngey/PAD
tayhan	tayha/VV+ngun/EAN
saylongwun	saylop/VJ+ngun/EAN
pangngelyekngul	pangngelyek/NNC+ngul/PCA
kwuchwukhalyenun	kwuchwuk/NNC+ha/XSV+ngulye/EFN+ngun/EAN
tanhohan	tanho/NNC+ha/XSJ+ngun/EAN
nguycilul	nguyci/NNC+ngul/PCA
pongiko	pongi/VV+ko/ECS
ngissngumye	ngiss/VX+ngumye/ECS
cwungkwukchukngun	cwungkwuk/NPR+chuk/XSF+ngun/PAU
thangingwanngey	thangingwan/NPR+ngey/PAD
tayhan	tayha/VV+ngun/EAN
mwukiphanmayka	mwuki/NNC+phanmay/NNC+ngi/PCA
ngyangngankwankyeynun	ngyangngan/NPR+kwankyey/NNC+ngun/PAU
mwullon	mwullon/ADV
mi-cwungkanngeyto	mi/NPR+-/SSY+cwung/NPR+kan/XSF+ngey/PAD+to/PAU
ngwihemswungwinguy	ngwihem/NNC+swungwi/NNC+nguy/PAN
saylongwun	saylop/VJ+ngun/EAN
kincangngul	kincang/NNC+ngul/PCA
cosenghal	coseng/NNC+ha/XSV+ngul/EAN
kesngilan	kes/NNX+ngi/CO+la/EFN+ngun/EAN
kyengkolul	kyengko/NNC+ngul/PCA
hako	ha/VV+ko/ECS
ngisstako	ngiss/VX+ta/EFN+ko/PAD
palkhyessta	palkhi/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
sinmwunngun	sinmwun/NNC+ngun/PAU
thangingwanchukngi	thangingwan/NPR+chuk/XSF+ngi/PCA
phanmaylul	phanmay/NNC+ngul/PCA
ngyokwuhako	ngyokwu/NNC+ha/XSV+ko/ECS
ngissnun	ngiss/VX+nun/EAN
mwuki	mwuki/NNC
cwungngeynun	cwung/NNX+ngey/PAD+ngun/PAU
taytang	tay/NNC+tang/XSF
15	15/NNU
ngektalleka	ngek/NNU+talle/NNX+ngi/PCA
nemnun	nem/VV+nun/EAN
4	4/NNU
cheknguy	chek/NNX+nguy/PAN
chemtan	chemtan/NNC
kwuchwukhamkwa	kwuchukham/NNC+kwa/PCJ
phaythulingethu	phaythulingethu/NPR
misangil	misangil/NNC
tung	tung/NNX+ngi/PCA
phohamtway	phoham/NNC+toy/XSV+nge/ECS
